name,pid,img_files,series,team,range
Sausage Sizzle,3-093,sausage_sizzle_3-093.png;sausage_sizzle_3-102.png;sausage_sizzle_BB-021.png,Series 3,International Food,Shopkins
Poppy Top,SHP-008,poppy_top_SHP-008.png,Series 6,Exclusive,Shopkins
Queen of Tarts,3-002,queen_of_tarts_3-002.png;queen_of_tarts_3-011.png;queen_of_tarts_SSP-003.png,Series 3,Bakery,Shopkins
Chee Zee,1-065,chee_zee_1-065.png;chee_zee_1-073.png,Series 1,Dairy,Shopkins
Sammy Speaker,5-134,sammy_speaker_5-134.png;sammy_speaker_5-142.png,Series 5,Tech,Shopkins
P. Nut Butter,6-070,p._nut_butter_6-070.png,Series 6,Breakfast,Shopkins
Blocky,5-153,blocky_5-153.png,Series 5,Limited Edition,Shopkins
Baby Puff,2-126,baby_puff_2-126.png;baby_puff_2-134.png,Series 2,Baby,Shopkins
Stacks Cookie,6-055,stacks_cookie_6-055.png,Series 6,Bakery,Shopkins
Dippy Donut,SHP-015,dippy_donut_SHP-015.png,Series 6,Exclusive,Shopkins
Mel T Moment,5-068,mel_t_moment_5-068.png;mel_t_moment_5-076.png,Series 5,Bakery,Shopkins
Chatter,3-109,chatter_3-109.png;chatter_3-118.png;chatter_BB-022.png,Series 3,Homewares,Shopkins
Mike Rophone,5-037,mike_rophone_5-037.png;mike_rophone_5-045.png,Series 5,Music,Shopkins
Sally Scent,4-142,sally_scent_4-142.png,Series 4,Limited Edition,Shopkins
Betsy Butter,6-001,betsy_butter_6-001.png,Series 6,Bakery,Shopkins
Ice-cream Dream,2-058,ice-cream_dream_2-058.png;ice-cream_dream_2-066.png;ice-cream_dream_FF-020.png,Series 2,Sweet Treats,Shopkins
Chap-Elli,1-107,chap-elli_1-107.png;chap-elli_1-117.png,Series 1,Health & Beauty,Shopkins
Pamela Pancake,2-060,pamela_pancake_2-060.png;pamela_pancake_2-068.png;pamela_pancake_FF-012.png;pamela_pancake_FF-030.png,Series 2,Sweet Treats,Shopkins
Mandy Candy Corn,SPC-006,mandy_candy_corn_SPC-006.png,Series 4,Exclusive,Shopkins
Cupcake Chic,2-043,cupcake_chic_2-043.png;cupcake_chic_2-052.png;cupcake_chic_5-099.png;cupcake_chic_5-111.png;cupcake_chic_5-123.png,Series 2,Bakery,Shopkins
Berry Smoothie,4-024,berry_smoothie_4-024.png;berry_smoothie_4-029.png,Series 4,Sweet Treats,Shopkins
Nappy Dee,2-127,nappy_dee_2-127.png;nappy_dee_2-135.png,Series 2,Baby,Shopkins
Roma Tomato,6-021,roma_tomato_6-021.png,Series 6,Family Food,Shopkins
La'Lotion ,1-148,la'lotion__1-148.png,Series 1,Exclusive,Shopkins
Music Box,FS-002,music_box_FS-002.png;music_box_FS-020.png;music_box_FSB-005.png,Series 2,Exclusive,Fashion Spree
Wrapper T,SHS-039,wrapper_t_SHS-039.png;wrapper_t_SHS-045.png;wrapper_t_SPC-007.png,Series 5,Exclusive,Shopkins
Patty Pam,FF-021,patty_pam_FF-021.png,Series 3,Cupcake,Food Fair
Teena Catfood,4-078,teena_catfood_4-078.png;teena_catfood_4-086.png,Series 4,Petshop,Shopkins
Molly Mitten,FFC-004,molly_mitten_FFC-004.png,Series 4,Exclusive,Fashion Spree
Bread Crumbs,4-011,bread_crumbs_4-011.png;bread_crumbs_4-016.png,Series 4,Bakery,Shopkins
Wendy Wedding Cake,3-008,wendy_wedding_cake_3-008.png;wendy_wedding_cake_3-017.png;wendy_wedding_cake_BB-020.png,Series 3,Bakery,Shopkins
Hi,FSD-002,hi_FSD-002.png,Series 3,Exclusive,Fashion Spree
Penny Wishing Well,5-019,penny_wishing_well_5-019.png;penny_wishing_well_5-027.png,Series 5,Garden,Shopkins
Sunny-Screen,1-142,sunny-screen_1-142.png,Series 1,Limited Edition,Shopkins
Pup-E-House,4-076,pup-e-house_4-076.png;pup-e-house_4-084.png,Series 4,Petshop,Shopkins
Max Saxophone,5-040,max_saxophone_5-040.png;max_saxophone_5-048.png,Series 5,Music,Shopkins
April Apricot,4-005,april_apricot_4-005.png;april_apricot_4-010.png,Series 4,Fruit and Veg,Shopkins
Servietta ,FF-017,servietta__FF-017.png,Series 3,Cool and Creamy,Food Fair
Sweets Honey,6-063,sweets_honey_6-063.png,Series 6,Sweets,Shopkins
Sweet Pea,3-071,sweet_pea_3-071.png;sweet_pea_3-079.png;sweet_pea_BB-017.png,Series 3,Fruit and Veg,Shopkins
Barbie Breakfast Muffin,6-051,barbie_breakfast_muffin_6-051.png,Series 6,Breakfast,Shopkins
Dusty Cocoa,6-071,dusty_cocoa_6-071.png,Series 6,Bakery,Shopkins
Rita Ruler,3-127,rita_ruler_3-127.png;rita_ruler_3-135.png,Series 3,Stationery,Shopkins
Sally Shakes  ,1-018,sally_shakes___1-018.png;sally_shakes___1-027.png,Series 1,Pantry,Shopkins
Shelly Egg,6-002,shelly_egg_6-002.png,Series 6,Bakery,Shopkins
Mavis Maple Syrup,6-068,mavis_maple_syrup_6-068.png,Series 6,Breakfast,Shopkins
Aspara-Gus,3-073,aspara-gus_3-073.png;aspara-gus_3-081.png;aspara-gus_BB-033.png,Series 3,Fruit and Veg,Shopkins
Mandy Candy,SHS-049,mandy_candy_SHS-049.png;mandy_candy_SHS-055.png,Series 5,Exclusive,Shopkins
Edgar Eggcup,4-041,edgar_eggcup_4-041.png;edgar_eggcup_4-046.png;edgar_eggcup_SE_009.png;edgar_eggcup_SE_010.png;edgar_eggcup_SMS-004.png;edgar_eggcup_SMS-011.png,Series 4,Homewares,Shopkins
Toffy Coffee,2-075,toffy_coffee_2-075.png;toffy_coffee_2-084.png,Series 2,Pantry,Shopkins
Fishtix,1-127,fishtix_1-127.png;fishtix_1-135.png;fishtix_SIT-003.png,Series 1,Frozen Food,Shopkins
Shady,3-024,shady_3-024.png;shady_3-032.png;shady_SCH-016.png;shady_SCH-022.png,Series 3,Hats,Shopkins
Susie Sausage,6-069,susie_sausage_6-069.png,Series 6,Breakfast,Shopkins
Poppy Sock,FSM-000,poppy_sock_FSM-000.png;poppy_sock_FSM-001.png;poppy_sock_FSM-002.png;poppy_sock_FSM-003.png,Series 4,Exclusive,Fashion Spree
Jasmine Rice,6-025,jasmine_rice_6-025.png,Series 6,Family Food,Shopkins
Tiny Tissues,5-052,tiny_tissues_5-052.png;tiny_tissues_5-060.png,Series 5,Homewares,Shopkins
Dolly Donut,4-015,dolly_donut_4-015.png;dolly_donut_4-020.png;dolly_donut_5-066.png;dolly_donut_5-074.png,Series 4,Bakery,Shopkins
Hot Choc,4-097,hot_choc_4-097.png;hot_choc_4-100.png,Series 4,Petkins,Shopkins
Timmy Tomato Paste,6-020,timmy_tomato_paste_6-020.png,Series 6,Family Food,Shopkins
Jilly Jam Roll ,5-069,jilly_jam_roll__5-069.png;jilly_jam_roll__5-077.png,Series 5,Bakery,Shopkins
Rayne-bow,SHP-005,rayne-bow_SHP-005.png,Series 6,Exclusive,Shopkins
Pup E Brush,4-080,pup_e_brush_4-080.png;pup_e_brush_4-088.png,Series 4,Petshop,Shopkins
Ice Cream Cup,4-103,ice_cream_cup_4-103.png;ice_cream_cup_4-106.png,Series 4,Petkins,Shopkins
Pheobe Fork,4-055,pheobe_fork_4-055.png;pheobe_fork_4-061.png,Series 4,Garden,Shopkins
Tiny 2,FSB-002,tiny_2_FSB-002.png,Series 3,Exclusive,Fashion Spree
Flippy,FTC-006,flippy_FTC-006.png,Series 4,Exclusive,Fashion Spree
June Balloon,4-066,june_balloon_4-066.png;june_balloon_4-071.png,Series 4,Party Time,Shopkins
Kitty Catbed,4-077,kitty_catbed_4-077.png;kitty_catbed_4-085.png,Series 4,Petshop,Shopkins
Parmesan Pete,6-043,parmesan_pete_6-043.png,Series 6,Family Food,Shopkins
Fifi Fruit Tart,2-041,fifi_fruit_tart_2-041.png;fifi_fruit_tart_2-050.png;fifi_fruit_tart_FF-004.png;fifi_fruit_tart_FF_022.png,Series 2,Bakery,Shopkins
Molly Moccasin,3-038,molly_moccasin_3-038.png;molly_moccasin_3-046.png,Series 3,Shoes,Shopkins
Scoopy One,FF-012,scoopy_one_FF-012.png,Series 3,Cool and Creamy,Food Fair
Cake Pop,FF-023,cake_pop_FF-023.png,Series 3,Cupcake,Food Fair
Tiara,FS-038,tiara_FS-038.png;tiara_FS-044.png;tiara_FSB-003.png,Series 2,Exclusive,Fashion Spree
Big Topping,4-101,big_topping_4-101.png;big_topping_4-104.png;big_topping_SE_033.png;big_topping_SE_034.png,Series 4,Petkins,Shopkins
Ring-a-ling,FSD-004,ring-a-ling_FSD-004.png,Series 3,Exclusive,Fashion Spree
Jelly B,1-054,jelly_b_1-054.png;jelly_b_1-063.png;jelly_b_FF-013.png;jelly_b_FF-031.png;jelly_b_SHS-022.png;jelly_b_SHS-028.png;jelly_b_SHS-034.png,Series 1,Sweet Treats,Shopkins
Raylene Rainbow,SHP-006,raylene_rainbow_SHP-006.png,Series 6,Exclusive,Shopkins
Peta Plunger,2-094,peta_plunger_2-094.png;peta_plunger_2-103.png,Series 2,Cleaning & Laundry,Shopkins
Gemma Bottle,4-141,gemma_bottle_4-141.png,Series 4,Limited Edition,Shopkins
Swiss Miss,1-066,swiss_miss_1-066.png;swiss_miss_1-074.png,Series 1,Dairy,Shopkins
C. Salt,6-023,c._salt_6-023.png,Series 6,Family Food,Shopkins
Cupcake Princess,6-058,cupcake_princess_6-058.png,Series 6,Bakery,Shopkins
Pretz-elle,SV-005,pretz-elle_SV-005.png;pretz-elle_SV-006.png,Series 5,Exclusive,Shopkins
Shoes-Anne,3-036,shoes-anne_3-036.png;shoes-anne_3-044.png,Series 3,Shoes,Shopkins
Bart Beans,2-070,bart_beans_2-070.png;bart_beans_2-079.png,Series 2,Pantry,Shopkins
Hattie Hat,3-020,hattie_hat_3-020.png;hattie_hat_3-028.png;hattie_hat_BB-005.png;hattie_hat_FS-015.png;hattie_hat_FS-033.png,Series 3,Hats,Shopkins
Jessie Dressing Gown,FSF-000,jessie_dressing_gown_FSF-000.png,Series 4,Exclusive,Fashion Spree
Wilma Wedge,3-042,wilma_wedge_3-042.png;wilma_wedge_3-050.png;wilma_wedge_FS-007.png;wilma_wedge_FS-025.png;wilma_wedge_SCH-017.png;wilma_wedge_SCH-023.png,Series 3,Shoes,Shopkins
Fortune Stella,5-150,fortune_stella_5-150.png,Series 5,Limited Edition,Shopkins
Blow-Anne,3-106,blow-anne_3-106.png;blow-anne_3-115.png,Series 3,Homewares,Shopkins
Dum Mee Mee,2-123,dum_mee_mee_2-123.png;dum_mee_mee_2-131.png;dum_mee_mee_5-106.png;dum_mee_mee_5-118.png;dum_mee_mee_5-130.png,Series 2,Baby,Shopkins
Chris P Crackers,2-077,chris_p_crackers_2-077.png;chris_p_crackers_2-086.png,Series 2,Pantry,Shopkins
Shirley Shirt,FSM-005,shirley_shirt_FSM-005.png,Series 4,Exclusive,Fashion Spree
Sizzles,2-025,sizzles_2-025.png;sizzles_2-034.png,Series 2,Homewares,Shopkins
Cam Corder,5-137,cam_corder_5-137.png;cam_corder_5-145.png,Series 5,Tech,Shopkins
Adam Apple,6-038,adam_apple_6-038.png,Series 6,Bakery,Shopkins
Veronica Vase,5-053,veronica_vase_5-053.png;veronica_vase_5-061.png,Series 5,Homewares,Shopkins
Lammy Lamington,3-087,lammy_lamington_3-087.png;lammy_lamington_3-096.png;lammy_lamington_FF_006.png;lammy_lamington_FF_024.png,Series 3,International Food,Shopkins
Bowl-inda,SH_007,bowl-inda_SH_007.png,Series 4,Exclusive,Shopkins
Becky Backpack,FFC-006,becky_backpack_FFC-006.png,Series 4,Exclusive,Fashion Spree
Frank Furter ,1-086,frank_furter__1-086.png;frank_furter__1-096.png,Series 1,Party Food,Shopkins
Silly Chili,SXL-004,silly_chili_SXL-004.png;silly_chili_SXL-010.png,Series 5,Exclusive,Shopkins
Patty Case,7-085,patty_case_7-085.png,Series 6,Limited Edition,Shopkins
Miss Mushy-Moo,1-006,miss_mushy-moo_1-006.png;miss_mushy-moo_1-013.png;miss_mushy-moo_SMF-001.png,Series 1,Fruit and Veg,Shopkins
Cheery Churro,FF-003,cheery_churro_FF-003.png;cheery_churro_FF-021.png,Series 2,Exclusive,Food Fair
Marty Party Hat,4-065,marty_party_hat_4-065.png;marty_party_hat_4-070.png;marty_party_hat_SE_031.png;marty_party_hat_SE_032.png,Series 4,Party Time,Shopkins
Mary Muffin,2-036,mary_muffin_2-036.png;mary_muffin_2-045.png,Series 2,Bakery,Shopkins
Carla Cone,SH-001,carla_cone_SH-001.png,Series 4,Exclusive,Shopkins
Gumball Gabby,SH_009,gumball_gabby_SH_009.png,Series 4,Exclusive,Shopkins
Howard Powerboard,5-139,howard_powerboard_5-139.png;howard_powerboard_5-147.png,Series 5,Tech,Shopkins
Googy,1-072,googy_1-072.png;googy_1-080.png,Series 1,Dairy,Shopkins
