name,pid,img_files,series,team,range
Candy Cookie,3-006,candy_cookie_3-006.png;candy_cookie_3-015.png,Series 3,Bakery,Shopkins
Cam Camera,FAD-006,cam_camera_FAD-006.png;cam_camera_FS-039.png;cam_camera_FS-045.png,Series 3,Exclusive,Fashion Spree
Kimberly Cap,FGF-005,kimberly_cap_FGF-005.png,Series 4,Exclusive,Fashion Spree
Miss Pressy,4-063,miss_pressy_4-063.png;miss_pressy_4-068.png;miss_pressy_GCC-004.png;miss_pressy_VAL-003.png,Series 4,Party Time,Shopkins
Gran Jam,1-022,gran_jam_1-022.png;gran_jam_1-031.png;gran_jam_SMF-002.png,Series 1,Pantry,Shopkins
Boneadette,4-125,boneadette_4-125.png;boneadette_4-128.png,Series 4,Petkins,Shopkins
Bobby Goggles,FFC-001,bobby_goggles_FFC-001.png,Series 4,Exclusive,Fashion Spree
Jeanie Beanie,FFC-007,jeanie_beanie_FFC-007.png,Series 4,Exclusive,Fashion Spree
Smarty Phone,FA-028,smarty_phone_FA-028.png;smarty_phone_FS-010.png;smarty_phone_FS-031.png,Series 2,Exclusive,Fashion Spree
Lola Roller Blade,5-006,lola_roller_blade_5-006.png;lola_roller_blade_5-014.png,Series 5,Sport,Shopkins
Chrissy Cream,SHP-016,chrissy_cream_SHP-016.png,Series 6,Exclusive,Shopkins
Tina Tuna,1-139,tin'a'tuna_1-139.png,Series 1,Limited Edition,Shopkins
Corny Cob,2-004,corny_cob_2-004.png;corny_cob_2-012.png,Series 2,Fruit and Veg,Shopkins
Lee Tea,2-140,lee_tea_2-140.png,Series 2,Limited Edition,Shopkins
Super Celery,3-074,super_celery_3-074.png;super_celery_3-082.png,Series 3,Fruit and Veg,Shopkins
Bessie Bowl,7-082,bessie_bowl_7-082.png,Series 6,Limited Edition,Shopkins
Madeline Muffin,6-006,madeline_muffin_6-006.png,Series 6,Breakfast,Shopkins
Belinda Blender,7-081,belinda_blender_7-081.png,Series 6,Limited Edition,Shopkins
Polly Piano,5-035,polly_piano_5-035.png;polly_piano_5-043.png,Series 5,Music,Shopkins
Freezy Peazy,1-128,freezy_peazy_1-128.png;freezy_peazy_1-136.png,Series 1,Frozen Food,Shopkins
Tubby Butter,4-096,tubby_butter_4-096.png;tubby_butter_4-099.png,Series 4,Petkins,Shopkins
Secret Sally,3-128,secret_sally_3-128.png;secret_sally_3-136.png;secret_sally_BB-037.png,Series 3,Stationery,Shopkins
Sugar Lump,1-019,sugar_lump_1-019.png;sugar_lump_1-028.png,Series 1,Pantry,Shopkins
Alpha Soup,1-021,alpha_soup_1-021.png;alpha_soup_1-030.png;alpha_soup_SV-001.png,Series 1,Pantry,Shopkins
Flutter Cake,1-038,flutter_cake_1-038.png;flutter_cake_1-045.png;flutter_cake_FF-009.png;flutter_cake_FF-027.png,Series 1,Bakery,Shopkins
Heidi Hibiscus,FTC-001,heidi_hibiscus_FTC-001.png,Series 4,Exclusive,Fashion Spree
Royal Cupcake,5-072,royal_cupcake_5-072.png;royal_cupcake_5-080.png,Series 5,Bakery,Shopkins
Fairy Crumbs,1-088,fairy_crumbs_1-088.png;fairy_crumbs_1-098.png;fairy_crumbs_FF-042.png;fairy_crumbs_FF-048.png,Series 1,Party Food,Shopkins
Lizzy Lace-up,3-039,lizzy_lace-up_3-039.png;lizzy_lace-up_3-047.png;lizzy_lace-up_BB-024.png,Series 3,Shoes,Shopkins
Carrie Backpack,FGF-004,carrie_backpack_FGF-004.png,Series 4,Exclusive,Fashion Spree
Kyla Crepe,SHP-004,kyla_crepe_SHP-004.png,Series 6,Exclusive,Shopkins
Lenny Lime,2-139,lenny_lime_2-139.png,Series 2,Limited Edition,Shopkins
Silly Chilli,2-008,silly_chilli_2-008.png;silly_chilli_2-016.png,Series 2,Fruit and Veg,Shopkins
Dribbles,2-121,dribbles_2-121.png;dribbles_2-129.png,Series 2,Baby,Shopkins
Hot Apple Pie,1-146,hot_apple_pie_1-146.png,Series 1,Exclusive,Shopkins
Frenchy Perfume,4-137,frenchy_perfume_4-137.png,Series 4,Limited Edition,Shopkins
Ring-A-Rosie,3-139,ring-a-rosie_3-139.png,Series 3,Limited Edition,Shopkins
Mindy Mirror,FS-003,mindy_mirror_FS-003.png,Series 3,Exclusive,Fashion Spree
Lisa Litter,2-023,lisa_litter_2-023.png;lisa_litter_2-032.png,Series 2,Homewares,Shopkins
Beverley Heels,3-035,beverley_heels_3-035.png;beverley_heels_3-043.png;beverley_heels_SBB-B.png,Series 3,Shoes,Shopkins
Mary Wishes,4-064,mary_wishes_4-064.png;mary_wishes_4-069.png;mary_wishes_SE_023.png;mary_wishes_SE_024.png,Series 4,Party Time,Shopkins
Lizzy Laptop,5-138,lizzy_laptop_5-138.png;lizzy_laptop_5-146.png,Series 5,Tech,Shopkins
Cheeky Cherries,4-004,cheeky_cherries_4-004.png;cheeky_cherries_4-009.png;cheeky_cherries_SE_005.png;cheeky_cherries_SE_006.png,Series 4,Fruit and Veg,Shopkins
Frogurt,FF-018,frogurt_FF-018.png,Series 3,Cool and Creamy,Food Fair
Will Barrow,4-053,will_barrow_4-053.png;will_barrow_4-059.png,Series 4,Garden,Shopkins
Frilly Tutu,SHP-019,frilly_tutu_SHP-019.png,Series 6,Exclusive,Shopkins
Angie Ankle Boot,2-142,angie_ankle_boot_2-142.png,Series 2,Limited Edition,Shopkins
Hot Chocco,FF-020,hot_chocco_FF-020.png,Series 3,Cupcake,Food Fair
Leafy,2-095,leafy_2-095.png;leafy_2-104.png,Series 2,Cleaning & Laundry,Shopkins
Fasta Pasta,2-071,fasta_pasta_2-071.png;fasta_pasta_2-080.png,Series 2,Pantry,Shopkins
Breaky Crunch,1-020,breaky_crunch_1-020.png;breaky_crunch_1-029.png,Series 1,Pantry,Shopkins
Daisy Donut,SH-003,daisy_donut_SH-003.png,Series 4,Exclusive,Shopkins
Choco Lava,2-040,choco_lava_2-040.png;choco_lava_2-049.png;choco_lava_FF-052.png;choco_lava_FF-058.png;choco_lava_SXL-005.png;choco_lava_SXL-011.png,Series 2,Bakery,Shopkins
Brimmy,3-022,brimmy_3-022.png;brimmy_3-030.png,Series 3,Hats,Shopkins
Strawberry Top,6-005,strawberry_top_6-005.png,Series 6,Breakfast,Shopkins
Choc E. Tubs,6-027,choc_e._tubs_6-027.png,Series 6,Sweets,Shopkins
Croissant dOr,3-089,croissant_d'or_3-089.png;croissant_d'or_3-098.png;croissant_d'or_FF-015.png;croissant_d'or_FF-033.png,Series 3,International Food,Shopkins
Shoes-anne,SSP-005,shoes-anne_SSP-005.png,Series 5,Exclusive,Shopkins
Honeeey,2-073,honeeey_2-073.png;honeeey_2-082.png,Series 2,Pantry,Shopkins
Fancy Fascinator,FSD-000,fancy_fascinator_FSD-000.png,Series 3,Exclusive,Fashion Spree
Ring-A-Ling,FS-001,ring-a-ling_FS-001.png;ring-a-ling_FS-019.png,Series 2,Exclusive,Fashion Spree
Cool cube,1-124,cool_cube_1-124.png;cool_cube_1-132.png,Series 1,Frozen Food,Shopkins
Sandy Shut Eye,FSF-003,sandy_shut_eye_FSF-003.png,Series 4,Exclusive,Fashion Spree
Le'Quorice,1-049,le'quorice_1-049.png;le'quorice_1-058.png;le'quorice_FF-050.png;le'quorice_FF-056.png;le'quorice_SHS-038.png;le'quorice_SHS-044.png,Series 1,Sweet Treats,Shopkins
Ros Berry,6-034,ros_berry_6-034.png,Series 6,Breakfast,Shopkins
Jelly Snake,SHS-036,jelly_snake_SHS-036.png;jelly_snake_SHS-042.png;jelly_snake_SPC-004.png,Series 5,Exclusive,Shopkins
Sippa,1-087,sippa_1-087.png;sippa_1-097.png,Series 1,Party Food,Shopkins
Clutch,FSD-005,clutch_FSD-005.png,Series 3,Exclusive,Fashion Spree
Sprinkle Lee Cake,5-083,sprinkle_lee_cake_5-083.png;sprinkle_lee_cake_5-091.png,Series 5,Sweet Treats,Shopkins
Sadie Soda,FF-005,sadie_soda_FF-005.png,Series 3,Fast Food,Food Fair
Dinky Drink,GCC-005,dinky_drink_GCC-005.png,Series 4,Exclusive,Shopkins
Cheery Churro ,2-059,cheery_churro__2-059.png;cheery_churro__2-067.png,Series 2,Sweet Treats,Shopkins
Choc Chips,6-014,choc_chips_6-014.png,Series 6,Sweets,Shopkins
Cassie Caster Sugar,6-040,cassie_caster_sugar_6-040.png,Series 6,Bakery,Shopkins
Pippa Lemon,6-011,pippa_lemon_6-011.png,Series 6,Breakfast,Shopkins
Snorky,5-008,snorky_5-008.png;snorky_5-016.png,Series 5,Sport,Shopkins
Cherry-Anne,6-046,cherry-anne_6-046.png,Series 6,Sweets,Shopkins
Polly Popcorn,SH_008,polly_popcorn_SH_008.png,Series 4,Exclusive,Shopkins
Molly Mops,2-091,molly_mops_2-091.png;molly_mops_2-100.png,Series 2,Cleaning & Laundry,Shopkins
Shampoo Sue,2-128,shampoo_sue_2-128.png;shampoo_sue_2-136.png,Series 2,Baby,Shopkins
Flappy Cap,3-021,flappy_cap_3-021.png;flappy_cap_3-029.png;flappy_cap_BB-011.png;flappy_cap_SCH-004.png;flappy_cap_SCH-010.png,Series 3,Hats,Shopkins
Posh Pear,1-007,posh_pear_1-007.png;posh_pear_1-014.png,Series 1,Fruit and Veg,Shopkins
Rockin' Choc,5-081,rockin'_choc_5-081.png;rockin'_choc_5-089.png,Series 5,Sweet Treats,Shopkins
Cream E Cookie,3-052,cream_e_cookie_3-052.png;cream_e_cookie_3-061.png;cream_e_cookie_FF-039.png;cream_e_cookie_FF-045.png,Series 3,Sweet Treats,Shopkins
Chocky Croissant,5-087,chocky_croissant_5-087.png;chocky_croissant_5-095.png,Series 5,Sweet Treats,Shopkins
Swiss Roll,FF-024,swiss_roll_FF-024.png,Series 3,Cupcake,Food Fair
Judy Jug,7-086,judy_jug_7-086.png,Series 6,Limited Edition,Shopkins
Toast T. Warm,6-031,toast_t._warm_6-031.png,Series 6,Breakfast,Shopkins
Kelly Calculator,3-126,kelly_calculator_3-126.png;kelly_calculator_3-134.png,Series 3,Stationery,Shopkins
Sam Soy,6-017,sam_soy_6-017.png,Series 6,Family Food,Shopkins
Teary Onion,6-024,teary_onion_6-024.png,Series 6,Family Food,Shopkins
Snow Crush,1-126,snow_crush_1-126.png;snow_crush_1-134.png,Series 1,Frozen Food,Shopkins
Bailey Baseball Glove,5-004,bailey_baseball_glove_5-004.png;bailey_baseball_glove_5-012.png,Series 5,Sport,Shopkins
Sponge Cake,1-150,sponge_cake_1-150.png,Series 1,Exclusive,Shopkins
Drinky Drink,4-131,drinky_drink_4-131.png;drinky_drink_4-134.png,Series 4,Petkins,Shopkins
Freddy Fried Rice ,6-062,freddy_fried_rice__6-062.png,Series 6,Family Food,Shopkins
Chloe Flower,2-001,chloe_flower_2-001.png;chloe_flower_2-009.png,Series 2,Fruit and Veg,Shopkins
Shampy,1-104,shampy_1-104.png;shampy_1-114.png,Series 1,Health & Beauty,Shopkins
Creamy Cookie Cupcake,5-070,creamy_cookie_cupcake_5-070.png;creamy_cookie_cupcake_5-078.png,Series 5,Bakery,Shopkins
Penny Pencil,3-123,penny_pencil_3-123.png;penny_pencil_3-131.png;penny_pencil_BB-038.png,Series 3,Stationery,Shopkins
Waggy Tag,4-126,waggy_tag_4-126.png;waggy_tag_4-129.png,Series 4,Petkins,Shopkins
Pizza Will,7-083,pizza_will_7-083.png,Series 6,Limited Edition,Shopkins
Herb L. Teabag,6-010,herb_l._teabag_6-010.png,Series 6,Breakfast,Shopkins
Cheezey B,1-089,cheezey_b_1-089.png;cheezey_b_1-099.png;cheezey_b_SV-002.png,Series 1,Party Food,Shopkins
Noni Notebook,3-124,noni_notebook_3-124.png;noni_notebook_3-132.png,Series 3,Stationery,Shopkins
Peachy,3-069,peachy_3-069.png;peachy_3-077.png;peachy_BB-004.png,Series 3,Fruit and Veg,Shopkins
Miss Twist,1-055,miss_twist_1-055.png;miss_twist_1-064.png;miss_twist_SHS-048.png;miss_twist_SHS-054.png;miss_twist_SMF-003.png,Series 1,Sweet Treats,Shopkins
Choc Buds,7-077,choc_buds_7-077.png,Series 6,Sweets,Shopkins
Cinnamon Sally,6-039,cinnamon_sally_6-039.png,Series 6,Bakery,Shopkins
Kelly Jelly,FS-002,kelly_jelly_FS-002.png,Series 3,Exclusive,Fashion Spree
Nilla Slice,3-009,nilla_slice_3-009.png;nilla_slice_3-018.png;nilla_slice_BB-003.png;nilla_slice_FF-053.png;nilla_slice_FF-059.png,Series 3,Bakery,Shopkins
Melissa Milk,6-003,melissa_milk_6-003.png,Series 6,Bakery,Shopkins
Mr. Muffin,FF-022,mr._muffin_FF-022.png,Series 3,Cupcake,Food Fair
Cupcake Queen,1-137,cupcake_queen_1-137.png,Series 1,Limited Edition,Shopkins
Comfy Chair,4-042,comfy_chair_4-042.png;comfy_chair_4-047.png,Series 4,Homewares,Shopkins
Mandy Mandarine,SGCC-003,mandy_mandarine_SGCC-003.png,Series 5,Exclusive,Shopkins
Snug Ugg,3-041,snug_ugg_3-041.png;snug_ugg_3-049.png;snug_ugg_BB-012.png;snug_ugg_SCH-005.png;snug_ugg_SCH-011.png,Series 3,Shoes,Shopkins
Sippy Sips,2-125,sippy_sips_2-125.png;sippy_sips_2-133.png,Series 2,Baby,Shopkins
Popsi Cool,1-122,popsi_cool_1-122.png;popsi_cool_1-130.png;popsi_cool_SIT-002.png,Series 1,Frozen Food,Shopkins
Sneaker,FCC-003,sneaker_FCC-003.png;sneaker_FS-005.png;sneaker_FS-023.png;sneaker_FS-026.png,Series 3,Exclusive,Fashion Spree
Al Foil,2-074,al_foil_2-074.png;al_foil_2-083.png,Series 2,Pantry,Shopkins
Rolly Sleeping Bag,FSF-004,rolly_sleeping_bag_FSF-004.png,Series 4,Exclusive,Fashion Spree
Coney,FF-015,coney_FF-015.png,Series 3,Cool and Creamy,Food Fair
Peppe Pepper,1-017,peppe_pepper_1-017.png;peppe_pepper_1-026.png,Series 1,Pantry,Shopkins
Flava Ava,1-070,flava_ava_1-070.png;flava_ava_1-078.png,Series 1,Dairy,Shopkins
Fudgey,FF-016,fudgey_FF-016.png,Series 3,Cool and Creamy,Food Fair
Tutucute,FSB-000,tutucute_FSB-000.png,Series 3,Exclusive,Fashion Spree
Red Velvet Cupcake,CCQ_2,red_velvet_cupcake_CCQ_2.png,Series 4,Exclusive,Food Fair
Sour Lemon,2-002,sour_lemon_2-002.png;sour_lemon_2-010.png,Series 2,Fruit and Veg,Shopkins
Chelsea Charm,3-138,chelsea_charm_3-138.png,Series 3,Limited Edition,Shopkins
Katie Skateboard,5-002,katie_skateboard_5-002.png;katie_skateboard_5-010.png,Series 5,Sport,Shopkins
Woody Garden Chair,5-017,woody_garden_chair_5-017.png;woody_garden_chair_5-025.png,Series 5,Garden,Shopkins
Doggy Bowl,4-073,doggy_bowl_4-073.png;doggy_bowl_4-081.png,Series 4,Petshop,Shopkins
Percy PC,5-133,percy_pc_5-133.png;percy_pc_5-141.png,Series 5,Tech,Shopkins
Ollie Orange Cake,5-067,ollie_orange_cake_5-067.png;ollie_orange_cake_5-075.png,Series 5,Bakery,Shopkins
Earring Twins,4-109,earring_twins_4-109.png;earring_twins_4-112.png;earring_twins_SE_025.png;earring_twins_SE_026.png;earring_twins_SMS-010.png,Series 4,Petkins,Shopkins
Lynne Spring,5-151,lynne_spring_5-151.png,Series 5,Limited Edition,Shopkins
Wild Carrot,3-070,wild_carrot_3-070.png;wild_carrot_3-078.png;wild_carrot_BB-009.png;wild_carrot_SCH-002.png;wild_carrot_SCH-008.png,Series 3,Fruit and Veg,Shopkins
Hula Hips,FTC-005,hula_hips_FTC-005.png,Series 4,Exclusive,Fashion Spree
Roasty Slipper,FSF-007,roasty_slipper_FSF-007.png,Series 4,Exclusive,Fashion Spree
Patti Polish,FSF-001,patti_polish_FSF-001.png,Series 4,Exclusive,Fashion Spree
D'Lish Donut,5-100,d'lish_donut_5-100.png;d'lish_donut_5-112.png;d'lish_donut_5-124.png,Series 5,Charms,Shopkins
Sadie Soccerball,5-003,sadie_soccerball_5-003.png;sadie_soccerball_5-011.png,Series 5,Sport,Shopkins
Freda Fern,5-022,freda_fern_5-022.png;freda_fern_5-030.png,Series 5,Garden,Shopkins
Tracey Tomato,4-090,tracey_tomato_4-090.png;tracey_tomato_4-093.png,Series 4,Petkins,Shopkins
Twirly Spaghetti,6-061,twirly_spaghetti_6-061.png,Series 6,Family Food,Shopkins
Milly Mushroom,4-003,milly_mushroom_4-003.png;milly_mushroom_4-008.png;milly_mushroom_SE_015.png;milly_mushroom_SE_016.png,Series 4,Fruit and Veg,Shopkins
Gabby Gamer,5-136,gabby_gamer_5-136.png;gabby_gamer_5-144.png,Series 5,Tech,Shopkins
Olivia Oil,2-072,olivia_oil_2-072.png;olivia_oil_2-081.png,Series 2,Pantry,Shopkins
Tippy and Toes,SHP-020,tippy_and_toes_SHP-020.png,Series 6,Exclusive,Shopkins
Prommy,2-105,prommy_2-105.png;prommy_2-113.png;prommy_5-101.png;prommy_5-113.png;prommy_5-125.png;prommy_FS-008.png;prommy_FS-026.png,Series 2,Shoes,Shopkins
Berry Sweet Lolly,SPC-005,berry_sweet_lolly_SPC-005.png,Series 4,Exclusive,Shopkins
Charlie Cheese,6-007,charlie_cheese_6-007.png,Series 6,Breakfast,Shopkins
Sparkly Spritz,4-139,sparkly_spritz_4-139.png,Series 4,Limited Edition,Shopkins
Rita Remote,4-115,rita_remote_4-115.png;rita_remote_4-118.png,Series 4,Petkins,Shopkins
Pineapple Sips,FTC-003,pineapple_sips_FTC-003.png,Series 3,Exclusive,Fashion Spree
Sweet Scent,FS-054,sweet_scent_FS-054.png;sweet_scent_FS-060.png;sweet_scent_FSD-007.png,Series 2,Exclusive,Fashion Spree
Floppy Hat,FCC-004,floppy_hat_FCC-004.png;floppy_hat_FS-009.png;floppy_hat_FS-027.png;floppy_hat_FS-030.png,Series 3,Exclusive,Fashion Spree
Fun Drum,5-034,fun_drum_5-034.png;fun_drum_5-042.png,Series 5,Music,Shopkins
Humpty Dumpling,3-086,humpty_dumpling_3-086.png;humpty_dumpling_3-095.png;humpty_dumpling_BB-001.png,Series 3,International Food,Shopkins
Goldie Syrup,6-072,goldie_syrup_6-072.png,Series 6,Bakery,Shopkins
Lil Red,FF-010,lil_red_FF-010.png,Series 3,Fast Food,Food Fair
Jen Jug,5-054,jen_jug_5-054.png;jen_jug_5-062.png,Series 5,Homewares,Shopkins
Nina Noodle,6-041,nina_noodle_6-041.png,Series 6,Family Food,Shopkins
Peta Planter,5-024,peta_planter_5-024.png;peta_planter_5-032.png,Series 5,Garden,Shopkins
Lola Lollipop,SHS-041,lola_lollipop_SHS-041.png;lola_lollipop_SHS-047.png;lola_lollipop_SS-001.png,Series 5,Exclusive,Shopkins
Sconnie,3-091,sconnie_3-091.png;sconnie_3-100.png;sconnie_BB-010.png;sconnie_SCH-003.png;sconnie_SCH-009.png,Series 3,International Food,Shopkins
Waffle Sue,2-057,waffle_sue_2-057.png;waffle_sue_2-065.png;waffle_sue_FF-041.png;waffle_sue_FF-047.png,Series 2,Sweet Treats,Shopkins
Margarina,1-147,margarina_1-147.png,Series 1,Exclusive,Shopkins
Lil' Ukelele,FTC-000,lil'_ukelele_FTC-000.png,Series 4,Exclusive,Fashion Spree
Toastie Bread,3-005,toastie_bread_3-005.png;toastie_bread_3-014.png;toastie_bread_BB-008.png;toastie_bread_SCH-001.png;toastie_bread_SCH-007.png,Series 3,Bakery,Shopkins
Scrubs,1-101,scrubs_1-101.png;scrubs_1-111.png,Series 1,Health & Beauty,Shopkins
Kane Sugar,6-009,kane_sugar_6-009.png,Series 6,Breakfast,Shopkins
Buttercup,1-138,buttercup_1-138.png,Series 1,Limited Edition,Shopkins
Flicker Candle,4-132,flicker_candle_4-132.png;flicker_candle_4-135.png,Series 4,Petkins,Shopkins
Lana Banana Bread,3-004,lana_banana_bread_3-004.png;lana_banana_bread_3-013.png;lana_banana_bread_BB-002.png,Series 3,Bakery,Shopkins
Jules,4-034,jules_4-034.png;jules_4-039.png;jules_SE_017.png;jules_SE_018.png,Series 4,Accessories,Shopkins
Fish Flake Jake,4-127,fish_flake_jake_4-127.png;fish_flake_jake_4-130.png;fish_flake_jake_SE_027.png;fish_flake_jake_SE_028.png;fish_flake_jake_SMS-001.png;fish_flake_jake_SMS-007.png,Series 4,Petkins,Shopkins
Betsy Buttercup,4-025,betsy_buttercup_4-025.png;betsy_buttercup_4-030.png,Series 4,Sweet Treats,Shopkins
Wilbur Whipped Cream,6-047,wilbur_whipped_cream_6-047.png,Series 6,Sweets,Shopkins
Suzie Sundae,3-057,suzie_sundae_3-057.png;suzie_sundae_3-066.png;suzie_sundae_BB-019.png,Series 3,Sweet Treats,Shopkins
Brenda Brooch,3-141,brenda_brooch_3-141.png,Series 3,Limited Edition,Shopkins
Cara Carrot Cake,6-056,cara_carrot_cake_6-056.png,Series 6,Bakery,Shopkins
Slick Breadstick,2-035,slick_breadstick_2-035.png;slick_breadstick_2-044.png,Series 2,Bakery,Shopkins
"Mandy Candy, ",1-053,"mandy_candy,__1-053.png;mandy_candy,__1-062.png",Series 1,Sweet Treats,Shopkins
Cindy Bun,4-013,cindy_bun_4-013.png;cindy_bun_4-018.png,Series 4,Bakery,Shopkins
Goldie Fish Bowl,4-079,goldie_fish_bowl_4-079.png;goldie_fish_bowl_4-087.png,Series 4,Petshop,Shopkins
Bubbles,1-047,bubbles_1-047.png;bubbles_1-056.png;bubbles_FF-054.png;bubbles_FF-060.png;bubbles_SHS-005.png;bubbles_SHS-011.png;bubbles_SHS-017.png,Series 1,Sweet Treats,Shopkins
Yummy Gummi Ring,SHS-019,yummy_gummi_ring_SHS-019.png;yummy_gummi_ring_SHS-025.png;yummy_gummi_ring_SHS-031.png;yummy_gummi_ring_SPC-002.png,Series 5,Exclusive,Shopkins
Cornell Mustard,2-076,cornell_mustard_2-076.png;cornell_mustard_2-085.png,Series 2,Pantry,Shopkins
Wedgy Wendy,2-110,wedgy_wendy_2-110.png;wedgy_wendy_2-118.png,Series 2,Shoes,Shopkins
Dressica,FS-042,dressica_FS-042.png;dressica_FS-048.png;dressica_FSD-001.png,Series 2,Exclusive,Fashion Spree
Iris Icing Sugar,6-037,iris_icing_sugar_6-037.png,Series 6,Bakery,Shopkins
Clicky Mouse,5-135,clicky_mouse_5-135.png;clicky_mouse_5-143.png,Series 5,Tech,Shopkins
Whistle Wilma,4-133,whistle_wilma_4-133.png;whistle_wilma_4-136.png,Series 4,Petkins,Shopkins
Toni Topper,3-023,toni_topper_3-023.png;toni_topper_3-031.png;toni_topper_BB-023.png,Series 3,Hats,Shopkins
Whitney Whisk,7-084,whitney_whisk_7-084.png,Series 6,Limited Edition,Shopkins
Bree Freshner,2-090,bree_freshner_2-090.png;bree_freshner_2-099.png;bree_freshner_SXL-003.png;bree_freshner_SXL-009.png,Series 2,Cleaning & Laundry,Shopkins
Tiny Tiara Topper,7-079,tiny_tiara_topper_7-079.png,Series 6,Limited Edition,Shopkins
Karen Carrot,6-015,karen_carrot_6-015.png,Series 6,Bakery,Shopkins
Marshmallow Twirl,SHS-001,marshmallow_twirl_SHS-001.png;marshmallow_twirl_SHS-007.png;marshmallow_twirl_SHS-013.png;marshmallow_twirl_SPC-001.png,Series 5,Exclusive,Shopkins
Cherry Cake,SH_005,cherry_cake_SH_005.png,Series 4,Exclusive,Shopkins
Blushy Brush,FS-004,blushy_brush_FS-004.png,Series 3,Exclusive,Fashion Spree
Mandy Mousse,5-084,mandy_mousse_5-084.png;mandy_mousse_5-092.png,Series 5,Sweet Treats,Shopkins
Khia Board,5-038,khia_board_5-038.png;khia_board_5-046.png,Series 5,Music,Shopkins
Macca Roon,3-053,macca_roon_3-053.png;macca_roon_3-062.png;macca_roon_BB-027.png;macca_roon_FF_010.png;macca_roon_FF-028.png;macca_roon_SCH-026.png;macca_roon_SCH-032.png,Series 3,Sweet Treats,Shopkins
Drips,4-119,drips_4-119.png;drips_4-122.png,Series 4,Petkins,Shopkins
Claire Chair,5-049,claire_chair_5-049.png;claire_chair_5-057.png,Series 5,Homewares,Shopkins
Heely,FS-001,heely_FS-001.png,Series 3,Exclusive,Fashion Spree
Lippo,FSB-004,lippo_FSB-004.png,Series 3,Exclusive,Fashion Spree
Bonnie Beret,3-025,bonnie_beret_3-025.png;bonnie_beret_3-033.png;bonnie_beret_FA-057.png;bonnie_beret_FS-051.png;bonnie_beret_SSP-004.png,Series 3,Hats,Shopkins
Heels,2-107,heels_2-107.png;heels_2-115.png,Series 2,Shoes,Shopkins
Block Ice Cube,6-033,block_ice_cube_6-033.png,Series 6,Breakfast,Shopkins
Apple Blossom,1-001,apple_blossom_1-001.png;apple_blossom_1-008.png;apple_blossom_5-108.png;apple_blossom_5-120.png;apple_blossom_5-132.png;apple_blossom_SMF-000.png,Series 1,Fruit and Veg,Shopkins
Runny Honey,6-008,runny_honey_6-008.png,Series 6,Breakfast,Shopkins
Cupcake Petal,SHP-012,cupcake_petal_SHP-012.png,Series 6,Exclusive,Shopkins
Peta Plant,4-051,peta_plant_4-051.png;peta_plant_4-057.png;peta_plant_SE_019.png;peta_plant_SE_020.png,Series 4,Garden,Shopkins
Tammy TV,4-043,tammy_tv_4-043.png;tammy_tv_4-048.png,Series 4,Homewares,Shopkins
Cherie Tomatoe,3-076,cherie_tomatoe_3-076.png;cherie_tomatoe_3-084.png;cherie_tomatoe_BB-034.png,Series 3,Fruit and Veg,Shopkins
Nice-Cream Sandwich,SHP-014,nice-cream_sandwich_SHP-014.png,Series 6,Exclusive,Shopkins
Walter Watering Can,5-018,walter_watering_can_5-018.png;walter_watering_can_5-026.png,Series 5,Garden,Shopkins
Soda Pops,1-090,soda_pops_1-090.png;soda_pops_1-100.png;soda_pops_FF-018.png;soda_pops_FF-036.png,Series 1,Party Food,Shopkins
Snuggles Snow Boot,FFC-002`,snuggles_snow_boot_FFC-002`.png,Series 4,Exclusive,Fashion Spree
Pretty Puff,4-138,pretty_puff_4-138.png,Series 4,Limited Edition,Shopkins
Brenda Blenda,2-018,brenda_blenda_2-018.png;brenda_blenda_2-027.png,Series 2,Homewares,Shopkins
Choc-Kate Sundae,6-066,choc-kate_sundae_6-066.png,Series 6,Sweets,Shopkins
Flushes,4-045,flushes_4-045.png;flushes_4-050.png;flushes_SE_021.png;flushes_SE_022.png,Series 4,Homewares,Shopkins
Sonia Sun Hat,FTC-002,sonia_sun_hat_FTC-002.png,Series 4,Exclusive,Fashion Spree
Carrie Carrot Cake,2-037,carrie_carrot_cake_2-037.png;carrie_carrot_cake_2-046.png,Series 2,Bakery,Shopkins
Vicky Vac,3-104,vicky_vac_3-104.png;vicky_vac_3-113.png;vicky_vac_BB-016.png,Series 3,Homewares,Shopkins
Teenie TV,3-107,teenie_tv_3-107.png;teenie_tv_3-116.png;teenie_tv_BB-032.png,Series 3,Homewares,Shopkins
Frosty Shaved Ice,FTC-004,frosty_shaved_ice_FTC-004.png,Series 4,Exclusive,Fashion Spree
Connie Console,5-140,connie_console_5-140.png;connie_console_5-148.png,Series 5,Tech,Shopkins
Sneaky Sue,2-106,sneaky_sue_2-106.png;sneaky_sue_2-114.png;sneaky_sue_FS-018.png;sneaky_sue_FS-036.png,Series 2,Shoes,Shopkins
Pineapple Crush,1-004,pineapple_crush_1-004.png;pineapple_crush_1-011.png,Series 1,Fruit and Veg,Shopkins
Wise Fry ,FF-004,wise_fry__FF-004.png,Series 3,Fast Food,Food Fair
Harvey Honeycomb,6-076,harvey_honeycomb_6-076.png,Series 6,Sweets,Shopkins
Polly Teapot,5-055,polly_teapot_5-055.png;polly_teapot_5-063.png,Series 5,Homewares,Shopkins
Spongy Cake,CCQ_1,spongy_cake_CCQ_1.png,Series 4,Exclusive,Food Fair
